sediment_thick,gwt,predom,vs30,dem,pga,geo_form,near_dis,near_dis_norm,near_dist,LIQ
2,5,1,3,5,2,8,3.1,0.33,8,0
3,6,1,3,3,2,8,0.97,0.1,4,0
1,6,1,3,4,2,8,1.64,0.17,6,0
1,5,1,3,5,2,8,2.52,0.27,8,0
2,6,1,3,3,2,9,0.35,0.04,2,0
1,6,1,3,3,2,9,1.32,0.14,5,0
1,6,1,3,4,2,8,2.3,0.24,7,0
1,5,1,3,4,2,9,0.32,0.03,2,0
1,6,1,3,5,1,9,1.22,0.13,5,0
1,6,1,3,6,1,9,1.91,0.2,6,0
1,5,1,3,3,1,9,0.21,0.02,2,0
1,6,1,3,5,1,9,0.5,0.05,3,0
1,5,1,3,5,1,9,1.48,0.16,5,0
1,5,1,3,6,1,9,1.1,0.12,5,0
1,5,1,3,5,1,9,1.1,0.12,5,0
1,5,1,3,6,1,9,1.77,0.19,6,0
1,7,1,3,4,2,8,2.81,0.3,8,0
1,6,4,3,3,5,8,1.87,0.2,6,0
1,6,6,3,3,5,8,1,0.11,4,1
2,6,8,1,2,4,10,0.63,0.07,3,0
3,4,8,2,2,5,10,0.42,0.04,2,1
4,4,9,2,2,4,10,0.51,0.05,3,1
4,4,9,2,2,3,10,1.5,0.16,5,1
4,3,9,2,2,4,10,1.75,0.18,6,1
4,4,8,2,3,3,10,1.05,0.11,4,1
3,5,7,2,3,3,10,0.1,0.01,1,1
2,4,1,3,3,2,9,0.84,0.09,4,0
1,4,1,3,4,2,9,0.87,0.09,4,0
1,3,4,3,3,4,4,0.41,0.04,2,0
1,3,1,3,4,1,9,1.1,0.12,5,0
1,3,1,3,5,1,9,1.01,0.11,4,0
1,7,1,3,2,2,8,4.12,0.43,9,0
1,5,1,3,4,2,8,3.26,0.34,9,0
1,6,1,2,3,6,10,2.48,0.26,7,0
1,6,6,2,3,4,10,1.89,0.2,6,1
2,5,8,2,3,5,10,1.25,0.13,5,1
3,5,8,2,3,3,10,0.38,0.04,2,1
3,4,9,2,3,4,10,0.09,0.01,1,1
3,4,9,2,3,3,10,1.04,0.11,4,1
3,3,5,2,3,3,10,2.03,0.21,7,0
3,4,7,2,3,3,10,1.45,0.15,5,0
3,4,7,2,3,3,10,0.98,0.1,4,0
2,4,1,2,3,2,10,1.31,0.14,5,0
1,4,1,3,5,1,9,1.68,0.18,6,0
1,4,1,3,5,1,9,1.49,0.16,5,0
1,3,1,3,7,1,9,1.87,0.2,6,0
1,3,1,3,6,1,12,1.21,0.13,5,0
1,5,1,3,4,2,9,3.96,0.42,9,0
1,5,2,2,4,6,9,3.34,0.35,9,0
1,6,2,2,3,7,9,2.62,0.28,8,0
2,5,2,2,3,5,9,1.71,0.18,6,0
2,5,7,3,3,4,10,0.75,0.08,4,0
2,4,6,2,2,3,10,0.01,0,1,1
2,4,1,3,4,2,9,0.79,0.08,4,0
1,4,1,3,5,1,9,1.75,0.18,6,0
2,3,1,2,4,2,9,2.34,0.25,7,0
2,4,2,2,4,5,4,2.08,0.22,7,0
1,4,1,3,5,1,9,2.26,0.24,7,0
1,4,1,3,7,1,9,2.71,0.29,8,0
1,4,1,3,8,1,9,2.59,0.27,8,0
1,3,1,3,7,1,9,2.48,0.26,7,0
1,3,1,3,7,1,9,1.67,0.18,6,0
1,5,1,3,6,2,9,3.91,0.41,9,0
1,5,1,3,5,2,9,2.97,0.31,8,0
1,5,1,3,4,2,9,1.99,0.21,6,0
1,5,1,3,4,2,9,1.02,0.11,4,0
1,5,1,3,3,1,9,0.13,0.01,1,0
1,4,1,3,4,1,4,0.79,0.08,4,0
1,4,1,3,7,1,9,1.77,0.19,6,0
1,4,1,3,7,1,2,2.76,0.29,8,0
1,4,1,3,6,1,9,3.19,0.34,8,0
1,3,1,3,6,1,9,3.31,0.35,9,0
1,4,1,3,8,1,9,3.7,0.39,9,0
1,4,1,3,9,1,9,3.7,0.39,9,0
1,3,1,3,7,1,9,3.15,0.33,8,0
1,3,1,3,6,1,9,2.57,0.27,8,0
1,5,1,3,8,1,9,3.24,0.34,9,0
1,5,1,3,7,1,9,2.32,0.24,7,0
1,5,1,3,6,1,9,1.49,0.16,5,0
1,5,1,3,5,1,9,0.96,0.1,4,0
1,4,1,3,4,1,9,1.26,0.13,5,0
1,4,1,3,7,1,9,2.04,0.22,7,0
1,4,1,3,8,1,9,2.95,0.31,8,0
1,4,1,3,9,1,9,3.9,0.41,9,0
1,3,1,3,7,1,9,4.39,0.46,10,0
1,4,1,3,9,1,9,4.69,0.49,10,0
1,3,1,3,9,1,9,4.64,0.49,10,0
1,3,1,3,8,1,9,4.02,0.42,9,0
1,3,1,3,8,1,9,3.58,0.38,9,0
2,3,1,3,3,1,9,0.8,0.08,4,0
2,4,1,3,4,1,9,1.17,0.12,5,0
1,4,1,3,6,1,9,1.95,0.21,6,0
1,4,1,3,6,1,9,2.86,0.3,8,0
1,5,1,3,7,1,9,2.55,0.27,8,0
1,3,1,3,5,1,9,0.23,0.02,2,0
1,4,1,3,6,1,9,0.71,0.07,3,0
